room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
8408157,1425,7664898,Shared room,,Philadelphia,,UNIVERSITY_CITY,3,5.0,1,1.0,,35.0,,2017-07-10 03:14:35.763408,39.956328,-75.203438,0101000020E6100000E030D12005CD52C0E21FB6F468FA4340
12218139,1425,50308154,Shared room,,Philadelphia,,OLD_CITY,29,4.5,5,1.0,,25.0,,2017-07-10 03:14:35.759344,39.949153,-75.1442,0101000020E61000005305A3923AC952C03DF372D87DF94340
10987294,1425,17120130,Shared room,,Philadelphia,,EAST_KENSINGTON,0,0.0,1,1.0,,30.0,,2017-07-10 03:14:33.957316,39.984664,-75.124585,0101000020E61000009E245D33F9C752C037C64E7809FE4340
13294346,1425,57146196,Shared room,,Philadelphia,,UNIVERSITY_CITY,0,0.0,2,1.0,,15.0,,2017-07-10 03:14:33.954538,39.95476,-75.201276,0101000020E61000000F5EBBB4E1CC52C0B5C35F9335FA4340
7690887,1425,40391409,Shared room,,Philadelphia,,SPRING_GARDEN,3,4.0,2,1.0,,40.0,,2017-07-10 03:14:33.947657,39.965866,-75.169368,0101000020E61000004B3FE1ECD6CA52C0BF28417FA1FB4340
16594746,1425,93008964,Shared room,,Philadelphia,,WASHINGTON_SQUARE,7,4.5,2,1.0,,35.0,,2017-07-10 03:14:33.942169,39.947308,-75.154826,0101000020E610000083A44FABE8C952C09D9E776341F94340
8631259,1425,20909882,Shared room,,Philadelphia,,RITTENHOUSE,34,5.0,2,1.0,,28.0,,2017-07-10 03:14:33.939421,39.952277,-75.177699,0101000020E61000000B62A06B5FCB52C0D3DD7536E4F94340
19165725,1425,134034717,Shared room,,Philadelphia,,SOUTHWEST_SCHUYLKILL,0,0.0,2,1.0,,36.0,,2017-07-10 03:14:33.937053,39.936026,-75.217633,0101000020E6100000F261F6B2EDCD52C0541A31B3CFF74340
12143429,1425,59829880,Shared room,,Philadelphia,,CENTER_CITY,9,4.0,10,1.0,,27.0,,2017-07-10 03:14:33.934264,39.957661,-75.159926,0101000020E6100000EDF1423A3CCA52C0CCD3B9A294FA4340
12904680,1425,21520107,Shared room,,Philadelphia,,RITTENHOUSE,24,4.5,1,1.0,,33.0,,2017-07-10 03:14:33.931292,39.949104,-75.172772,0101000020E6100000876A4AB20ECB52C05B40683D7CF94340
17027580,1425,113984731,Shared room,,Philadelphia,,MANTUA,0,0.0,2,1.0,,23.0,,2017-07-10 03:14:33.928589,39.964968,-75.193126,0101000020E61000007880272D5CCC52C0E0D7481284FB4340
9749126,1425,50289160,Shared room,,Philadelphia,,CEDAR_PARK,35,5.0,1,1.0,,29.0,,2017-07-10 03:14:33.925647,39.943844,-75.215305,0101000020E6100000946A9F8EC7CD52C04E4354E1CFF84340
17025120,1425,65453839,Shared room,,Philadelphia,,SOMERTON,2,0.0,1,1.0,,22.0,,2017-07-10 03:14:33.922639,40.111607,-75.028543,0101000020E6100000E7E104A6D3C152C099805F23490E4440
9595640,1425,6397267,Shared room,,Philadelphia,,LOGAN_SQUARE,8,4.0,10,1.0,,28.0,,2017-07-10 03:14:33.919542,39.958412,-75.162992,0101000020E61000009E60FF756ECA52C0070C923EADFA4340
8274087,1425,43628802,Shared room,,Philadelphia,,WEST_POWELTON,3,5.0,1,1.0,,27.0,,2017-07-10 03:14:33.917066,39.961094,-75.198764,0101000020E6100000D1E7A38CB8CC52C0E030D12005FB4340
